split,risk_budget,reference_method,comparison_method,paired_fixed_risk_success_diff,ci95,reference_better_seeds,seeds
combined_long_horizon,0.00,spatial_commitment_tree_search_v5,receding_horizon_tamp,0.00000,0.00000,0,8
combined_long_horizon,0.00,spatial_commitment_tree_search_v5,commitment_cost_planner_v4,0.00000,0.00000,0,8
combined_long_horizon,0.00,spatial_commitment_tree_search_v5,beam_search_sequence_planner,0.00000,0.00000,0,8
combined_long_horizon,0.00,spatial_commitment_tree_search_v5,topological_base_graph_search,0.00000,0.00000,0,8
combined_long_horizon,0.00,spatial_commitment_tree_search_v5,robust_backtracking_tamp,0.00000,0.00000,0,8
combined_long_horizon,0.05,spatial_commitment_tree_search_v5,receding_horizon_tamp,0.00000,0.00000,0,8
combined_long_horizon,0.05,spatial_commitment_tree_search_v5,commitment_cost_planner_v4,0.00000,0.00000,0,8
combined_long_horizon,0.05,spatial_commitment_tree_search_v5,beam_search_sequence_planner,0.00000,0.00000,0,8
combined_long_horizon,0.05,spatial_commitment_tree_search_v5,topological_base_graph_search,0.00000,0.00000,0,8
combined_long_horizon,0.05,spatial_commitment_tree_search_v5,robust_backtracking_tamp,0.00000,0.00000,0,8
combined_long_horizon,0.10,spatial_commitment_tree_search_v5,receding_horizon_tamp,0.00000,0.00000,0,8
combined_long_horizon,0.10,spatial_commitment_tree_search_v5,commitment_cost_planner_v4,0.00000,0.00000,0,8
combined_long_horizon,0.10,spatial_commitment_tree_search_v5,beam_search_sequence_planner,0.00000,0.00000,0,8
combined_long_horizon,0.10,spatial_commitment_tree_search_v5,topological_base_graph_search,0.00000,0.00000,0,8
combined_long_horizon,0.10,spatial_commitment_tree_search_v5,robust_backtracking_tamp,0.00000,0.00000,0,8
combined_long_horizon,0.20,spatial_commitment_tree_search_v5,receding_horizon_tamp,0.00000,0.00000,0,8
combined_long_horizon,0.20,spatial_commitment_tree_search_v5,commitment_cost_planner_v4,0.00000,0.00000,0,8
combined_long_horizon,0.20,spatial_commitment_tree_search_v5,beam_search_sequence_planner,0.00000,0.00000,0,8
combined_long_horizon,0.20,spatial_commitment_tree_search_v5,topological_base_graph_search,0.00000,0.00000,0,8
combined_long_horizon,0.20,spatial_commitment_tree_search_v5,robust_backtracking_tamp,0.00000,0.00000,0,8
adversarial_dead_end,0.00,spatial_commitment_tree_search_v5,receding_horizon_tamp,0.00000,0.00000,0,8
adversarial_dead_end,0.00,spatial_commitment_tree_search_v5,commitment_cost_planner_v4,0.00000,0.00000,0,8
adversarial_dead_end,0.00,spatial_commitment_tree_search_v5,beam_search_sequence_planner,0.00000,0.00000,0,8
adversarial_dead_end,0.00,spatial_commitment_tree_search_v5,topological_base_graph_search,0.00000,0.00000,0,8
adversarial_dead_end,0.00,spatial_commitment_tree_search_v5,robust_backtracking_tamp,0.00000,0.00000,0,8
adversarial_dead_end,0.05,spatial_commitment_tree_search_v5,receding_horizon_tamp,0.00000,0.00000,0,8
adversarial_dead_end,0.05,spatial_commitment_tree_search_v5,commitment_cost_planner_v4,0.00000,0.00000,0,8
adversarial_dead_end,0.05,spatial_commitment_tree_search_v5,beam_search_sequence_planner,0.00000,0.00000,0,8
adversarial_dead_end,0.05,spatial_commitment_tree_search_v5,topological_base_graph_search,0.00000,0.00000,0,8
adversarial_dead_end,0.05,spatial_commitment_tree_search_v5,robust_backtracking_tamp,0.00000,0.00000,0,8
adversarial_dead_end,0.10,spatial_commitment_tree_search_v5,receding_horizon_tamp,0.00000,0.00000,0,8
adversarial_dead_end,0.10,spatial_commitment_tree_search_v5,commitment_cost_planner_v4,0.00000,0.00000,0,8
adversarial_dead_end,0.10,spatial_commitment_tree_search_v5,beam_search_sequence_planner,0.00000,0.00000,0,8
adversarial_dead_end,0.10,spatial_commitment_tree_search_v5,topological_base_graph_search,0.00000,0.00000,0,8
adversarial_dead_end,0.10,spatial_commitment_tree_search_v5,robust_backtracking_tamp,0.00000,0.00000,0,8
adversarial_dead_end,0.20,spatial_commitment_tree_search_v5,receding_horizon_tamp,0.00000,0.00000,0,8
adversarial_dead_end,0.20,spatial_commitment_tree_search_v5,commitment_cost_planner_v4,0.00000,0.00000,0,8
adversarial_dead_end,0.20,spatial_commitment_tree_search_v5,beam_search_sequence_planner,0.00000,0.00000,0,8
adversarial_dead_end,0.20,spatial_commitment_tree_search_v5,topological_base_graph_search,0.00000,0.00000,0,8
adversarial_dead_end,0.20,spatial_commitment_tree_search_v5,robust_backtracking_tamp,0.00000,0.00000,0,8
