stress_level,method,success,ci95,future_regret,rows
0.0,reachability_margin_sampler,0.07143,0.09714,0.92857,42
0.0,receding_horizon_tamp,0.09524,0.09714,0.90476,42
0.0,commitment_planner_no_future,0.09524,0.12049,0.90476,42
0.0,commitment_cost_planner,0.07143,0.06600,0.92857,42
0.0,oracle_sequence_planner,0.14286,0.11109,0.85714,42
0.2,reachability_margin_sampler,0.09524,0.09714,0.90476,42
0.2,receding_horizon_tamp,0.07143,0.06600,0.92857,42
0.2,commitment_planner_no_future,0.02381,0.04667,0.97619,42
0.2,commitment_cost_planner,0.02381,0.04667,0.97619,42
0.2,oracle_sequence_planner,0.02381,0.04667,0.97619,42
0.4,reachability_margin_sampler,0.00000,0.00000,1.00000,42
0.4,receding_horizon_tamp,0.02381,0.04667,0.97619,42
0.4,commitment_planner_no_future,0.02381,0.04667,0.97619,42
0.4,commitment_cost_planner,0.04762,0.06025,0.95238,42
0.4,oracle_sequence_planner,0.02381,0.04667,0.97619,42
0.6,reachability_margin_sampler,0.00000,0.00000,1.00000,42
0.6,receding_horizon_tamp,0.00000,0.00000,1.00000,42
0.6,commitment_planner_no_future,0.00000,0.00000,1.00000,42
0.6,commitment_cost_planner,0.00000,0.00000,1.00000,42
0.6,oracle_sequence_planner,0.00000,0.00000,1.00000,42
0.8,reachability_margin_sampler,0.00000,0.00000,1.00000,42
0.8,receding_horizon_tamp,0.00000,0.00000,1.00000,42
0.8,commitment_planner_no_future,0.00000,0.00000,1.00000,42
0.8,commitment_cost_planner,0.00000,0.00000,1.00000,42
0.8,oracle_sequence_planner,0.00000,0.00000,1.00000,42
1.0,reachability_margin_sampler,0.00000,0.00000,1.00000,42
1.0,receding_horizon_tamp,0.00000,0.00000,1.00000,42
1.0,commitment_planner_no_future,0.00000,0.00000,1.00000,42
1.0,commitment_cost_planner,0.00000,0.00000,1.00000,42
1.0,oracle_sequence_planner,0.00000,0.00000,1.00000,42
